allocation_id,employee_id,project_id,allocation_month,allocation_percentage,performance_rating
ALC00481,EMP0468,PRJ017,2026-10,25,3.2
ALC00482,EMP0024,PRJ028,2026-01,100,4.4
ALC00483,EMP0084,PRJ054,2025-04,50,3.1
ALC00484,EMP0194,PRJ002,2025-07,75,3.4
ALC00485,EMP0357,PRJ051,2026-01,25,3.5
ALC00486,EMP0442,PRJ042,2026-02,100,3.6
ALC00487,EMP0474,PRJ020,2026-11,75,4.5
ALC00488,EMP0488,PRJ040,2026-09,100,3.7
ALC00489,EMP0152,PRJ010,2026-10,100,5.0
ALC00490,EMP0211,PRJ011,2026-05,75,3.3
ALC00491,EMP0094,PRJ088,2026-03,25,3.2
ALC00492,EMP0414,PRJ032,2026-04,100,3.5
ALC00493,EMP0371,PRJ100,2025-05,25,3.2
ALC00494,EMP0342,PRJ059,2025-02,25,4.0
ALC00495,EMP0465,PRJ068,2025-01,50,3.8
ALC00496,EMP0271,PRJ013,2026-10,75,3.3
ALC00497,EMP0018,PRJ067,2026-08,25,4.5
ALC00498,EMP0292,PRJ043,2026-10,100,4.6
ALC00499,EMP0192,PRJ028,2025-07,75,4.3
ALC00500,EMP0247,PRJ030,2026-04,75,4.1
ALC00501,EMP0500,PRJ100,2026-06,25,4.9
ALC00502,EMP0076,PRJ053,2025-02,100,4.8
ALC00503,EMP0070,PRJ006,2025-04,100,3.9
ALC00504,EMP0333,PRJ028,2026-01,100,3.9
ALC00505,EMP0198,PRJ009,2025-02,50,4.1
ALC00506,EMP0229,PRJ016,2025-10,50,4.0
ALC00507,EMP0079,PRJ070,2025-05,75,4.4
ALC00508,EMP0238,PRJ050,2026-04,25,4.1
ALC00509,EMP0497,PRJ029,2026-04,100,4.0
ALC00510,EMP0445,PRJ018,2025-06,25,3.8
ALC00511,EMP0356,PRJ034,2026-04,100,4.2
ALC00512,EMP0446,PRJ096,2025-12,75,3.6
ALC00513,EMP0290,PRJ012,2025-01,25,3.3
ALC00514,EMP0405,PRJ029,2025-12,75,4.6
ALC00515,EMP0265,PRJ071,2026-07,25,4.5
ALC00516,EMP0280,PRJ057,2026-09,75,3.8
ALC00517,EMP0391,PRJ068,2026-02,75,5.0
ALC00518,EMP0242,PRJ053,2026-02,75,3.1
ALC00519,EMP0074,PRJ067,2025-08,50,3.5
ALC00520,EMP0277,PRJ051,2025-10,25,4.8
ALC00521,EMP0135,PRJ037,2025-03,75,3.2
ALC00522,EMP0358,PRJ052,2025-06,25,4.1
ALC00523,EMP0146,PRJ048,2025-02,100,4.3
ALC00524,EMP0045,PRJ025,2026-02,100,3.5
ALC00525,EMP0379,PRJ043,2026-11,100,4.2
ALC00526,EMP0243,PRJ097,2025-11,100,4.1
ALC00527,EMP0001,PRJ037,2025-11,25,4.6
ALC00528,EMP0049,PRJ085,2025-04,50,3.7
ALC00529,EMP0293,PRJ083,2026-05,75,3.3
ALC00530,EMP0409,PRJ021,2025-10,75,4.9
ALC00531,EMP0430,PRJ097,2025-07,100,4.3
ALC00532,EMP0024,PRJ067,2025-03,50,3.6
ALC00533,EMP0105,PRJ036,2025-02,75,5.0
ALC00534,EMP0161,PRJ053,2026-01,50,4.2
ALC00535,EMP0090,PRJ054,2025-03,25,4.2
ALC00536,EMP0298,PRJ099,2025-09,25,4.1
ALC00537,EMP0323,PRJ007,2026-05,100,3.9
ALC00538,EMP0453,PRJ049,2025-12,25,4.3
ALC00539,EMP0087,PRJ023,2025-10,75,3.9
ALC00540,EMP0183,PRJ067,2026-06,75,3.4
ALC00541,EMP0124,PRJ081,2026-01,75,4.2
ALC00542,EMP0403,PRJ089,2026-03,50,4.8
ALC00543,EMP0165,PRJ093,2026-09,50,4.2
ALC00544,EMP0309,PRJ017,2025-07,100,3.5
ALC00545,EMP0254,PRJ053,2026-09,100,4.9
ALC00546,EMP0377,PRJ013,2026-12,25,4.0
ALC00547,EMP0278,PRJ015,2025-12,100,3.3
ALC00548,EMP0300,PRJ025,2025-05,75,4.7
ALC00549,EMP0333,PRJ025,2026-02,75,4.7
ALC00550,EMP0131,PRJ014,2025-03,50,4.7
ALC00551,EMP0227,PRJ093,2025-09,75,4.3
ALC00552,EMP0352,PRJ041,2025-09,50,3.8
ALC00553,EMP0476,PRJ075,2025-04,50,3.4
ALC00554,EMP0345,PRJ056,2025-08,75,3.9
ALC00555,EMP0165,PRJ078,2026-06,100,3.8
ALC00556,EMP0257,PRJ062,2025-02,50,3.3
ALC00557,EMP0069,PRJ097,2025-05,25,3.5
ALC00558,EMP0493,PRJ019,2025-09,50,4.3
ALC00559,EMP0081,PRJ093,2025-02,100,4.6
ALC00560,EMP0462,PRJ081,2025-02,25,3.6
ALC00561,EMP0430,PRJ013,2025-10,25,4.8
ALC00562,EMP0250,PRJ041,2026-02,75,4.3
ALC00563,EMP0360,PRJ074,2025-03,100,4.9
ALC00564,EMP0348,PRJ006,2026-12,50,3.5
ALC00565,EMP0351,PRJ074,2026-07,25,4.0
ALC00566,EMP0264,PRJ095,2026-07,75,4.0
ALC00567,EMP0039,PRJ064,2025-03,50,4.2
ALC00568,EMP0305,PRJ088,2025-11,75,4.7
ALC00569,EMP0345,PRJ037,2026-12,100,4.6
ALC00570,EMP0427,PRJ040,2026-12,50,4.9
ALC00571,EMP0497,PRJ054,2025-07,50,3.2
ALC00572,EMP0243,PRJ059,2025-07,75,3.9
ALC00573,EMP0236,PRJ056,2025-09,25,4.0
ALC00574,EMP0402,PRJ084,2025-12,25,3.6
ALC00575,EMP0445,PRJ009,2026-02,100,4.4
ALC00576,EMP0114,PRJ046,2025-09,50,3.7
ALC00577,EMP0407,PRJ064,2026-11,75,4.6
ALC00578,EMP0085,PRJ059,2025-01,25,4.7
ALC00579,EMP0080,PRJ034,2026-10,25,4.4
ALC00580,EMP0273,PRJ095,2026-10,50,3.5
ALC00581,EMP0320,PRJ091,2026-01,75,4.3
ALC00582,EMP0054,PRJ032,2026-11,75,4.8
ALC00583,EMP0364,PRJ079,2026-10,25,4.1
ALC00584,EMP0429,PRJ067,2025-08,100,3.8
ALC00585,EMP0318,PRJ051,2026-01,75,3.6
ALC00586,EMP0201,PRJ055,2025-08,75,3.4
ALC00587,EMP0212,PRJ071,2025-06,100,4.3
ALC00588,EMP0182,PRJ028,2026-09,100,4.6
ALC00589,EMP0135,PRJ087,2025-09,25,4.6
ALC00590,EMP0473,PRJ029,2026-04,100,4.5
ALC00591,EMP0477,PRJ095,2025-11,100,4.8
ALC00592,EMP0444,PRJ099,2025-04,50,4.4
ALC00593,EMP0216,PRJ092,2026-05,25,3.7
ALC00594,EMP0286,PRJ055,2026-08,75,3.9
ALC00595,EMP0094,PRJ057,2025-01,25,4.3
ALC00596,EMP0089,PRJ009,2025-06,100,4.6
ALC00597,EMP0281,PRJ004,2025-05,25,3.8
ALC00598,EMP0402,PRJ063,2026-09,75,3.6
ALC00599,EMP0443,PRJ028,2025-03,25,3.3
ALC00600,EMP0382,PRJ090,2026-05,50,4.7
ALC00601,EMP0089,PRJ024,2026-10,100,4.6
ALC00602,EMP0194,PRJ032,2025-11,100,4.0
ALC00603,EMP0045,PRJ065,2026-12,50,3.5
ALC00604,EMP0363,PRJ015,2026-10,75,4.6
ALC00605,EMP0211,PRJ056,2025-07,25,3.8
ALC00606,EMP0335,PRJ028,2025-06,100,4.8
ALC00607,EMP0481,PRJ085,2026-07,50,3.0
ALC00608,EMP0018,PRJ085,2025-01,50,4.8
ALC00609,EMP0181,PRJ038,2026-03,50,3.5
ALC00610,EMP0017,PRJ065,2025-06,25,3.8
ALC00611,EMP0410,PRJ045,2026-02,75,3.3
ALC00612,EMP0318,PRJ089,2025-12,50,4.9
ALC00613,EMP0152,PRJ099,2025-04,25,4.4
ALC00614,EMP0229,PRJ041,2026-02,100,4.7
ALC00615,EMP0358,PRJ057,2026-04,25,3.4
ALC00616,EMP0035,PRJ071,2025-07,50,4.9
ALC00617,EMP0036,PRJ029,2025-09,75,4.5
ALC00618,EMP0003,PRJ045,2026-01,50,3.9
ALC00619,EMP0182,PRJ010,2025-07,50,5.0
ALC00620,EMP0294,PRJ082,2025-10,50,3.8
ALC00621,EMP0184,PRJ060,2026-02,50,3.1
ALC00622,EMP0485,PRJ080,2025-09,50,4.2
ALC00623,EMP0218,PRJ026,2025-08,75,4.2
ALC00624,EMP0113,PRJ084,2026-09,100,3.2
ALC00625,EMP0372,PRJ045,2026-04,50,4.7
ALC00626,EMP0403,PRJ036,2026-11,100,4.4
ALC00627,EMP0105,PRJ016,2026-11,100,4.4
ALC00628,EMP0058,PRJ087,2026-12,75,3.1
ALC00629,EMP0312,PRJ055,2026-06,25,3.1
ALC00630,EMP0338,PRJ011,2025-08,100,4.8
ALC00631,EMP0434,PRJ046,2026-08,25,3.0
ALC00632,EMP0327,PRJ035,2026-05,100,3.6
ALC00633,EMP0433,PRJ095,2026-01,75,3.3
ALC00634,EMP0099,PRJ056,2026-06,25,4.2
ALC00635,EMP0344,PRJ048,2025-09,50,4.0
ALC00636,EMP0183,PRJ066,2025-11,100,3.3
ALC00637,EMP0416,PRJ045,2025-11,100,3.3
ALC00638,EMP0433,PRJ048,2025-04,75,3.1
ALC00639,EMP0135,PRJ084,2025-05,100,4.7
ALC00640,EMP0245,PRJ086,2025-09,75,4.9
ALC00641,EMP0257,PRJ065,2025-10,75,4.2
ALC00642,EMP0003,PRJ058,2025-09,75,3.9
ALC00643,EMP0110,PRJ042,2025-06,75,4.5
ALC00644,EMP0310,PRJ081,2026-04,50,4.1
ALC00645,EMP0063,PRJ053,2026-10,100,3.1
ALC00646,EMP0051,PRJ043,2025-05,25,3.5
ALC00647,EMP0253,PRJ059,2025-02,100,3.5
ALC00648,EMP0132,PRJ081,2026-11,100,3.9
ALC00649,EMP0167,PRJ012,2026-04,25,3.9
ALC00650,EMP0085,PRJ014,2026-11,100,3.9
ALC00651,EMP0023,PRJ045,2025-04,50,3.2
ALC00652,EMP0002,PRJ014,2025-03,50,4.7
ALC00653,EMP0393,PRJ069,2025-06,50,4.5
ALC00654,EMP0013,PRJ075,2025-09,50,4.2
ALC00655,EMP0272,PRJ065,2025-01,50,3.8
ALC00656,EMP0281,PRJ072,2025-03,50,4.5
ALC00657,EMP0240,PRJ057,2026-10,25,4.8
ALC00658,EMP0225,PRJ052,2025-01,75,4.4
ALC00659,EMP0145,PRJ003,2026-10,25,3.8
ALC00660,EMP0214,PRJ051,2026-07,25,4.7
ALC00661,EMP0341,PRJ076,2025-05,25,3.2
ALC00662,EMP0234,PRJ011,2026-11,100,3.9
ALC00663,EMP0011,PRJ033,2025-09,25,3.7
ALC00664,EMP0132,PRJ052,2025-02,100,3.6
ALC00665,EMP0134,PRJ059,2026-12,50,3.4
ALC00666,EMP0462,PRJ023,2025-02,75,3.6
ALC00667,EMP0477,PRJ025,2025-02,25,4.1
ALC00668,EMP0200,PRJ033,2026-08,100,3.2
ALC00669,EMP0250,PRJ095,2025-09,50,3.5
ALC00670,EMP0357,PRJ065,2026-01,25,3.0
ALC00671,EMP0413,PRJ089,2025-07,50,3.8
ALC00672,EMP0361,PRJ008,2026-01,75,4.3
ALC00673,EMP0385,PRJ059,2026-09,50,3.2
ALC00674,EMP0089,PRJ055,2026-04,100,4.5
ALC00675,EMP0464,PRJ050,2025-10,50,3.7
ALC00676,EMP0479,PRJ049,2025-04,75,4.0
ALC00677,EMP0062,PRJ087,2026-04,100,4.8
ALC00678,EMP0428,PRJ055,2026-04,75,4.1
ALC00679,EMP0452,PRJ016,2026-02,25,4.5
ALC00680,EMP0348,PRJ059,2025-12,50,3.9
ALC00681,EMP0069,PRJ030,2026-02,25,3.1
ALC00682,EMP0325,PRJ077,2025-11,100,4.4
ALC00683,EMP0294,PRJ041,2026-09,50,4.9
ALC00684,EMP0196,PRJ092,2026-05,25,3.6
ALC00685,EMP0424,PRJ028,2026-02,25,4.8
ALC00686,EMP0169,PRJ030,2026-04,75,3.3
ALC00687,EMP0320,PRJ034,2025-05,75,4.7
ALC00688,EMP0014,PRJ084,2026-05,100,3.6
ALC00689,EMP0177,PRJ062,2025-02,25,4.8
ALC00690,EMP0295,PRJ083,2026-05,25,4.0
ALC00691,EMP0327,PRJ073,2026-02,25,3.9
ALC00692,EMP0118,PRJ040,2026-12,75,3.7
ALC00693,EMP0427,PRJ092,2026-07,25,4.5
ALC00694,EMP0038,PRJ074,2025-01,25,4.5
ALC00695,EMP0334,PRJ017,2026-03,50,4.6
ALC00696,EMP0113,PRJ088,2026-01,25,3.2
ALC00697,EMP0134,PRJ022,2026-11,75,3.6
ALC00698,EMP0158,PRJ008,2026-12,100,4.5
ALC00699,EMP0178,PRJ002,2026-03,75,3.7
ALC00700,EMP0148,PRJ012,2025-06,50,3.4
ALC00701,EMP0004,PRJ086,2026-12,75,4.7
ALC00702,EMP0267,PRJ011,2025-04,100,4.1
ALC00703,EMP0454,PRJ041,2025-01,100,3.2
ALC00704,EMP0142,PRJ003,2025-06,100,3.9
ALC00705,EMP0086,PRJ098,2026-01,100,3.6
ALC00706,EMP0453,PRJ014,2026-08,75,4.4
ALC00707,EMP0483,PRJ065,2026-11,100,4.6
ALC00708,EMP0324,PRJ100,2025-03,50,3.3
ALC00709,EMP0233,PRJ082,2025-07,25,4.6
ALC00710,EMP0329,PRJ020,2026-11,50,4.7
ALC00711,EMP0063,PRJ091,2025-07,100,4.3
ALC00712,EMP0280,PRJ022,2026-09,50,3.9
ALC00713,EMP0084,PRJ090,2026-09,50,3.2
ALC00714,EMP0311,PRJ043,2026-03,50,3.9
ALC00715,EMP0014,PRJ033,2025-01,25,3.3
ALC00716,EMP0324,PRJ012,2025-05,100,4.9
ALC00717,EMP0334,PRJ095,2026-04,25,4.7
ALC00718,EMP0147,PRJ048,2026-07,50,3.4
ALC00719,EMP0196,PRJ056,2026-07,100,3.1
ALC00720,EMP0465,PRJ082,2025-01,25,4.3
ALC00721,EMP0214,PRJ095,2026-11,100,5.0
ALC00722,EMP0367,PRJ079,2026-04,75,3.1
ALC00723,EMP0068,PRJ062,2026-01,100,4.0
ALC00724,EMP0342,PRJ047,2026-12,100,3.5
ALC00725,EMP0361,PRJ006,2025-02,25,3.8
ALC00726,EMP0291,PRJ027,2025-11,25,3.5
ALC00727,EMP0043,PRJ053,2026-09,100,4.8
ALC00728,EMP0245,PRJ071,2025-04,100,4.2
ALC00729,EMP0335,PRJ074,2026-09,75,3.9
ALC00730,EMP0085,PRJ082,2026-02,25,3.3
ALC00731,EMP0486,PRJ022,2026-12,50,3.9
ALC00732,EMP0061,PRJ052,2026-03,50,4.0
ALC00733,EMP0339,PRJ002,2026-07,75,4.8
ALC00734,EMP0027,PRJ022,2026-11,100,3.3
ALC00735,EMP0253,PRJ051,2025-10,100,4.9
ALC00736,EMP0394,PRJ086,2026-10,75,4.6
ALC00737,EMP0244,PRJ024,2025-06,50,3.6
ALC00738,EMP0392,PRJ028,2026-12,25,4.3
ALC00739,EMP0036,PRJ051,2025-05,50,3.4
ALC00740,EMP0184,PRJ051,2026-08,100,3.2
ALC00741,EMP0436,PRJ083,2026-02,100,3.6
ALC00742,EMP0262,PRJ060,2025-07,25,5.0
ALC00743,EMP0165,PRJ094,2025-12,75,3.7
ALC00744,EMP0010,PRJ077,2025-06,50,4.7
ALC00745,EMP0080,PRJ050,2026-05,25,4.6
ALC00746,EMP0463,PRJ049,2025-11,100,3.2
ALC00747,EMP0460,PRJ095,2025-08,25,4.1
ALC00748,EMP0404,PRJ098,2026-04,75,5.0
ALC00749,EMP0140,PRJ092,2025-12,25,4.5
ALC00750,EMP0111,PRJ006,2026-06,75,4.8
ALC00751,EMP0451,PRJ015,2026-11,25,4.4
ALC00752,EMP0301,PRJ012,2026-03,100,4.9
ALC00753,EMP0349,PRJ040,2025-04,25,4.6
ALC00754,EMP0035,PRJ066,2026-08,25,4.6
ALC00755,EMP0204,PRJ009,2025-02,25,3.3
ALC00756,EMP0193,PRJ067,2025-04,50,4.8
ALC00757,EMP0408,PRJ029,2025-06,75,4.4
ALC00758,EMP0446,PRJ055,2026-05,100,4.5
ALC00759,EMP0335,PRJ040,2025-04,50,4.3
ALC00760,EMP0493,PRJ011,2025-11,50,3.2
ALC00761,EMP0196,PRJ030,2025-07,100,4.9
ALC00762,EMP0127,PRJ072,2025-01,50,4.7
ALC00763,EMP0471,PRJ046,2026-04,75,3.6
ALC00764,EMP0258,PRJ083,2025-06,25,3.5
ALC00765,EMP0084,PRJ070,2026-11,100,3.7
ALC00766,EMP0023,PRJ052,2026-10,50,3.3
ALC00767,EMP0483,PRJ100,2026-05,100,4.6
ALC00768,EMP0473,PRJ077,2025-05,100,3.8
ALC00769,EMP0444,PRJ055,2026-02,100,4.9
ALC00770,EMP0213,PRJ066,2026-05,75,4.9
ALC00771,EMP0330,PRJ010,2026-03,50,4.5
ALC00772,EMP0253,PRJ086,2026-11,25,3.2
ALC00773,EMP0316,PRJ055,2025-11,100,5.0
ALC00774,EMP0088,PRJ029,2025-06,100,3.1
ALC00775,EMP0291,PRJ006,2025-02,50,4.8
ALC00776,EMP0244,PRJ038,2025-02,75,3.8
ALC00777,EMP0181,PRJ091,2026-10,75,4.4
ALC00778,EMP0299,PRJ011,2025-11,75,3.0
ALC00779,EMP0221,PRJ081,2025-09,50,4.4
ALC00780,EMP0193,PRJ051,2026-03,50,4.8
ALC00781,EMP0480,PRJ046,2026-08,100,4.4
ALC00782,EMP0460,PRJ008,2026-09,100,4.6
ALC00783,EMP0317,PRJ029,2025-10,25,3.1
ALC00784,EMP0022,PRJ032,2025-11,100,4.5
ALC00785,EMP0122,PRJ045,2026-12,50,4.0
ALC00786,EMP0278,PRJ050,2026-06,75,3.4
ALC00787,EMP0123,PRJ041,2026-05,75,4.0
ALC00788,EMP0042,PRJ017,2026-09,50,3.0
ALC00789,EMP0232,PRJ008,2026-06,75,3.5
ALC00790,EMP0422,PRJ083,2025-10,100,5.0
ALC00791,EMP0141,PRJ086,2025-04,25,4.7
ALC00792,EMP0366,PRJ044,2025-09,75,3.2
ALC00793,EMP0045,PRJ013,2026-09,25,3.9
ALC00794,EMP0124,PRJ034,2026-07,25,3.9
ALC00795,EMP0127,PRJ003,2025-08,50,3.7
ALC00796,EMP0448,PRJ058,2025-10,50,4.4
ALC00797,EMP0175,PRJ063,2026-05,50,3.2
ALC00798,EMP0266,PRJ035,2026-05,50,4.6
ALC00799,EMP0371,PRJ053,2025-12,100,3.2
ALC00800,EMP0010,PRJ074,2026-11,100,4.7
ALC00801,EMP0041,PRJ030,2025-03,25,3.1
ALC00802,EMP0083,PRJ058,2025-05,100,3.4
ALC00803,EMP0180,PRJ030,2025-03,75,4.4
ALC00804,EMP0154,PRJ043,2026-01,100,4.7
ALC00805,EMP0472,PRJ041,2026-07,100,4.3
ALC00806,EMP0421,PRJ030,2026-03,100,4.5
ALC00807,EMP0421,PRJ058,2026-02,50,3.3
ALC00808,EMP0308,PRJ054,2025-05,100,4.4
ALC00809,EMP0107,PRJ022,2025-05,25,4.4
ALC00810,EMP0268,PRJ022,2026-03,100,3.1
ALC00811,EMP0002,PRJ094,2025-06,75,4.8
ALC00812,EMP0039,PRJ061,2025-04,100,3.2
ALC00813,EMP0287,PRJ065,2025-12,75,3.1
ALC00814,EMP0276,PRJ016,2025-05,25,3.7
ALC00815,EMP0399,PRJ078,2025-12,75,3.6
ALC00816,EMP0355,PRJ033,2025-01,50,3.3
ALC00817,EMP0491,PRJ092,2026-07,100,3.1
ALC00818,EMP0101,PRJ029,2025-10,75,3.4
ALC00819,EMP0218,PRJ054,2026-12,100,3.0
ALC00820,EMP0223,PRJ020,2026-06,75,3.1
ALC00821,EMP0066,PRJ020,2025-02,100,4.0
ALC00822,EMP0257,PRJ023,2025-10,100,4.8
ALC00823,EMP0084,PRJ028,2026-01,100,4.7
ALC00824,EMP0500,PRJ051,2026-08,50,4.5
ALC00825,EMP0272,PRJ048,2026-05,100,4.5
ALC00826,EMP0249,PRJ024,2026-10,100,3.3
ALC00827,EMP0025,PRJ069,2026-12,75,3.2
ALC00828,EMP0192,PRJ073,2026-08,100,3.8
ALC00829,EMP0172,PRJ055,2026-01,75,4.1
ALC00830,EMP0160,PRJ098,2026-10,100,4.5
ALC00831,EMP0076,PRJ019,2026-09,25,4.7
ALC00832,EMP0019,PRJ014,2026-11,25,4.1
ALC00833,EMP0269,PRJ080,2026-11,75,4.1
ALC00834,EMP0025,PRJ091,2025-04,25,3.4
ALC00835,EMP0264,PRJ014,2026-08,25,4.9
ALC00836,EMP0263,PRJ074,2026-05,50,4.5
ALC00837,EMP0385,PRJ001,2026-05,25,3.2
ALC00838,EMP0117,PRJ088,2026-06,50,4.9
ALC00839,EMP0490,PRJ018,2025-09,50,3.5
ALC00840,EMP0263,PRJ006,2026-11,100,3.2
ALC00841,EMP0344,PRJ048,2026-06,75,3.8
ALC00842,EMP0112,PRJ086,2025-02,100,4.7
ALC00843,EMP0112,PRJ054,2025-01,75,3.9
ALC00844,EMP0442,PRJ059,2026-02,25,4.7
ALC00845,EMP0311,PRJ009,2025-11,100,3.5
ALC00846,EMP0136,PRJ089,2025-04,25,4.1
ALC00847,EMP0387,PRJ072,2025-10,50,3.4
ALC00848,EMP0002,PRJ038,2025-03,50,3.6
ALC00849,EMP0240,PRJ017,2026-02,50,3.1
ALC00850,EMP0457,PRJ051,2025-11,50,3.1
ALC00851,EMP0466,PRJ006,2025-02,75,3.8
ALC00852,EMP0147,PRJ049,2025-11,50,3.8
ALC00853,EMP0247,PRJ002,2025-11,75,3.8
ALC00854,EMP0384,PRJ036,2025-04,25,3.4
ALC00855,EMP0438,PRJ013,2026-08,50,4.0
ALC00856,EMP0377,PRJ094,2026-05,100,4.9
ALC00857,EMP0079,PRJ038,2025-09,25,3.6
ALC00858,EMP0030,PRJ028,2026-06,100,3.1
ALC00859,EMP0427,PRJ091,2025-01,100,4.3
ALC00860,EMP0455,PRJ063,2025-01,75,4.1
ALC00861,EMP0436,PRJ025,2026-07,25,3.5
ALC00862,EMP0015,PRJ092,2026-06,50,3.6
ALC00863,EMP0399,PRJ089,2026-02,100,3.2
ALC00864,EMP0138,PRJ002,2026-09,50,4.6
ALC00865,EMP0143,PRJ016,2025-05,75,4.1
ALC00866,EMP0407,PRJ028,2025-06,50,4.1
ALC00867,EMP0253,PRJ001,2026-02,100,3.1
ALC00868,EMP0448,PRJ077,2026-03,75,4.3
ALC00869,EMP0275,PRJ026,2025-06,25,3.1
ALC00870,EMP0076,PRJ007,2026-04,75,4.2
ALC00871,EMP0316,PRJ023,2026-10,100,5.0
ALC00872,EMP0209,PRJ005,2026-09,50,4.2
ALC00873,EMP0062,PRJ078,2026-05,75,3.1
ALC00874,EMP0002,PRJ020,2026-12,25,3.6
ALC00875,EMP0370,PRJ071,2026-01,25,4.7
ALC00876,EMP0131,PRJ001,2026-12,75,4.8
ALC00877,EMP0049,PRJ034,2025-07,75,4.8
ALC00878,EMP0473,PRJ071,2025-11,75,5.0
ALC00879,EMP0446,PRJ004,2026-11,100,3.5
ALC00880,EMP0262,PRJ092,2026-10,75,3.7
ALC00881,EMP0164,PRJ064,2026-03,75,3.0
ALC00882,EMP0379,PRJ057,2026-11,50,4.3
ALC00883,EMP0433,PRJ054,2025-01,100,3.0
ALC00884,EMP0212,PRJ051,2025-01,50,3.8
ALC00885,EMP0450,PRJ063,2026-11,100,4.5
ALC00886,EMP0119,PRJ044,2026-06,25,4.6
ALC00887,EMP0338,PRJ070,2026-09,25,4.1
ALC00888,EMP0064,PRJ023,2026-10,100,4.3
ALC00889,EMP0143,PRJ063,2025-12,100,4.7
ALC00890,EMP0083,PRJ091,2025-12,100,3.4
ALC00891,EMP0259,PRJ100,2026-11,25,3.2
ALC00892,EMP0145,PRJ052,2025-12,50,3.9
ALC00893,EMP0480,PRJ021,2025-08,25,4.5
ALC00894,EMP0209,PRJ021,2026-10,75,3.4
ALC00895,EMP0041,PRJ088,2026-08,75,4.6
ALC00896,EMP0346,PRJ034,2025-08,50,5.0
ALC00897,EMP0294,PRJ059,2025-12,25,3.6
ALC00898,EMP0448,PRJ033,2026-11,50,3.0
ALC00899,EMP0271,PRJ042,2026-09,100,3.2
ALC00900,EMP0464,PRJ068,2025-09,100,3.3
ALC00901,EMP0051,PRJ002,2025-07,50,3.1
ALC00902,EMP0050,PRJ091,2025-05,25,3.3
ALC00903,EMP0348,PRJ084,2026-07,50,4.8
ALC00904,EMP0092,PRJ035,2026-12,75,3.4
ALC00905,EMP0352,PRJ051,2026-10,25,5.0
ALC00906,EMP0333,PRJ084,2026-11,75,4.4
ALC00907,EMP0321,PRJ063,2026-03,25,4.9
ALC00908,EMP0340,PRJ092,2026-09,25,4.7
ALC00909,EMP0112,PRJ098,2025-11,100,4.7
ALC00910,EMP0210,PRJ057,2026-02,75,3.2
ALC00911,EMP0012,PRJ016,2026-05,100,4.0
ALC00912,EMP0356,PRJ041,2026-05,25,4.8
ALC00913,EMP0127,PRJ098,2025-08,25,3.6
ALC00914,EMP0134,PRJ027,2026-02,100,3.6
ALC00915,EMP0191,PRJ026,2026-01,50,3.7
ALC00916,EMP0251,PRJ073,2026-07,25,5.0
ALC00917,EMP0309,PRJ062,2025-08,100,4.9
ALC00918,EMP0195,PRJ041,2025-08,50,3.3
ALC00919,EMP0165,PRJ046,2025-10,25,4.3
ALC00920,EMP0461,PRJ087,2025-04,25,4.0
ALC00921,EMP0337,PRJ084,2025-01,75,4.7
ALC00922,EMP0402,PRJ066,2025-08,25,3.9
ALC00923,EMP0144,PRJ049,2025-11,25,4.6
ALC00924,EMP0437,PRJ005,2026-05,50,4.9
ALC00925,EMP0143,PRJ068,2026-08,100,4.5
ALC00926,EMP0082,PRJ100,2026-09,100,4.2
ALC00927,EMP0272,PRJ007,2025-03,25,4.8
ALC00928,EMP0276,PRJ092,2026-01,75,4.8
ALC00929,EMP0013,PRJ048,2026-11,25,4.6
ALC00930,EMP0272,PRJ087,2025-02,100,3.1
ALC00931,EMP0331,PRJ032,2026-08,100,3.1
ALC00932,EMP0091,PRJ010,2026-10,25,4.1
ALC00933,EMP0256,PRJ100,2025-10,100,3.8
ALC00934,EMP0464,PRJ001,2026-08,100,3.5
ALC00935,EMP0390,PRJ047,2026-08,25,3.9
ALC00936,EMP0334,PRJ022,2026-03,100,4.8
ALC00937,EMP0231,PRJ057,2026-08,25,3.7
ALC00938,EMP0410,PRJ093,2026-10,25,3.9
ALC00939,EMP0152,PRJ058,2025-11,50,3.2
ALC00940,EMP0006,PRJ008,2025-01,25,4.2
ALC00941,EMP0183,PRJ031,2025-07,50,4.3
ALC00942,EMP0054,PRJ064,2025-09,75,3.8
ALC00943,EMP0499,PRJ009,2026-12,100,3.4
ALC00944,EMP0302,PRJ085,2025-05,25,3.1
ALC00945,EMP0315,PRJ095,2025-10,100,4.0
ALC00946,EMP0427,PRJ085,2026-09,75,3.6
ALC00947,EMP0044,PRJ056,2026-06,50,3.3
ALC00948,EMP0256,PRJ023,2025-10,75,3.6
ALC00949,EMP0474,PRJ086,2025-01,50,3.1
ALC00950,EMP0085,PRJ026,2026-05,25,3.8
ALC00951,EMP0098,PRJ004,2025-07,50,4.3
ALC00952,EMP0148,PRJ048,2025-07,25,3.7
ALC00953,EMP0345,PRJ061,2026-10,100,4.4
ALC00954,EMP0202,PRJ082,2026-03,75,4.7
ALC00955,EMP0194,PRJ041,2026-07,75,4.2
ALC00956,EMP0381,PRJ038,2026-02,75,3.3
ALC00957,EMP0093,PRJ041,2026-03,25,4.0
ALC00958,EMP0132,PRJ062,2025-01,50,4.4
ALC00959,EMP0267,PRJ049,2026-03,50,3.5
ALC00960,EMP0419,PRJ090,2026-12,75,4.6
ALC00961,EMP0412,PRJ036,2026-01,50,3.8
